B19013_001E,B19013_001M,GEO_ID,NAME
Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),id,Geographic Area Name
22067,3487,1400000US36005015500,"Census Tract 155, Bronx County, New York"
33468,6925,1400000US36005015700,"Census Tract 157, Bronx County, New York"
55700,8417,1400000US36005015800,"Census Tract 158, Bronx County, New York"
16400,7552,1400000US36005015900,"Census Tract 159, Bronx County, New York"
79756,9452,1400000US36005016000,"Census Tract 160, Bronx County, New York"
17960,4169,1400000US36005016100,"Census Tract 161, Bronx County, New York"
81210,14296,1400000US36005016200,"Census Tract 162, Bronx County, New York"
-,**,1400000US36005016300,"Census Tract 163, Bronx County, New York"
80000,18341,1400000US36005016400,"Census Tract 164, Bronx County, New York"
26739,3994,1400000US36005016500,"Census Tract 165, Bronx County, New York"
78333,28533,1400000US36005016600,"Census Tract 166, Bronx County, New York"
31600,4185,1400000US36005016700,"Census Tract 167, Bronx County, New York"
30221,5417,1400000US36005016900,"Census Tract 169, Bronx County, New York"
-,**,1400000US36005017100,"Census Tract 171, Bronx County, New York"
20662,4854,1400000US36005017300,"Census Tract 173, Bronx County, New York"
26630,4138,1400000US36005017500,"Census Tract 175, Bronx County, New York"
28750,11486,1400000US36005017701,"Census Tract 177.01, Bronx County, New York"
34567,16258,1400000US36005017702,"Census Tract 177.02, Bronx County, New York"
39036,25803,1400000US36005017901,"Census Tract 179.01, Bronx County, New York"
37250,17137,1400000US36005017902,"Census Tract 179.02, Bronx County, New York"
-,**,1400000US36005018101,"Census Tract 181.01, Bronx County, New York"
31602,4719,1400000US36005018102,"Census Tract 181.02, Bronx County, New York"
37105,10762,1400000US36005018301,"Census Tract 183.01, Bronx County, New York"
41894,5957,1400000US36005018302,"Census Tract 183.02, Bronx County, New York"
79191,15127,1400000US36005018400,"Census Tract 184, Bronx County, New York"
25808,9175,1400000US36005018500,"Census Tract 185, Bronx County, New York"
27339,5355,1400000US36005018900,"Census Tract 189, Bronx County, New York"
23927,4995,1400000US36005019300,"Census Tract 193, Bronx County, New York"
54167,9760,1400000US36005019400,"Census Tract 194, Bronx County, New York"
27227,3483,1400000US36005019500,"Census Tract 195, Bronx County, New York"
35100,7382,1400000US36005019700,"Census Tract 197, Bronx County, New York"
42569,9611,1400000US36005019900,"Census Tract 199, Bronx County, New York"
40184,8475,1400000US36005020000,"Census Tract 200, Bronx County, New York"
34038,5290,1400000US36005020100,"Census Tract 201, Bronx County, New York"
39306,7867,1400000US36005020200,"Census Tract 202, Bronx County, New York"
51199,12273,1400000US36005020400,"Census Tract 204, Bronx County, New York"
17601,4512,1400000US36005020501,"Census Tract 205.01, Bronx County, New York"
18919,4730,1400000US36005020502,"Census Tract 205.02, Bronx County, New York"
48367,24015,1400000US36005020601,"Census Tract 206.01, Bronx County, New York"
31190,9003,1400000US36005020900,"Census Tract 209, Bronx County, New York"
54076,5840,1400000US36005021001,"Census Tract 210.01, Bronx County, New York"
55961,6528,1400000US36005021002,"Census Tract 210.02, Bronx County, New York"
30092,2594,1400000US36005021100,"Census Tract 211, Bronx County, New York"
57500,9019,1400000US36005021200,"Census Tract 212, Bronx County, New York"
25509,9308,1400000US36005021301,"Census Tract 213.01, Bronx County, New York"
25512,6532,1400000US36005021302,"Census Tract 213.02, Bronx County, New York"
33750,10510,1400000US36005021501,"Census Tract 215.01, Bronx County, New York"
25238,4288,1400000US36005021502,"Census Tract 215.02, Bronx County, New York"
34510,6278,1400000US36005021601,"Census Tract 216.01, Bronx County, New York"
55354,7394,1400000US36005021602,"Census Tract 216.02, Bronx County, New York"
36420,12332,1400000US36005021700,"Census Tract 217, Bronx County, New York"
47581,13801,1400000US36005021800,"Census Tract 218, Bronx County, New York"
26316,17628,1400000US36005021900,"Census Tract 219, Bronx County, New York"
35781,13545,1400000US36005022000,"Census Tract 220, Bronx County, New York"
