"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",12.069500621779,0.0961771737545881,125.492361135256,0
"prox_score",0.00119446375015154,0.0198308211246864,0.0602326924660025,0.951976066858376
"med_income_10thou",-0.215861281489811,0.00854478144721675,-25.2623525625834,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000417916058836238
"wghtd_avg_mmpy",-0.0285985413263083,0.00262074644447583,-10.9123648289555,0.0000000000000000000000000053015413229345
