year,uniqueid,data_value,low_confidence_limit,high_confidence_limit,populationcount,geolocation,tractfips,boro_code,boro,tract_code
2017,3651000-36081010800,9.6,9.2,10.1,2980,"
,  
(40.6886101443, -73.8305959413)",36081010800,081,Queens,010800
2017,3651000-36061020500,9.5,9,10.1,5322,"
,  
(40.811473962, -73.9680101311)",36061020500,061,Manhattan,020500
2017,3651000-36061008800,7.7,7.5,8.1,7026,"
,  
(40.7494963097, -73.9723664709)",36061008800,061,Manhattan,008800
2017,3651000-36047013200,9.1,8.6,9.6,2239,"
,  
(40.627993681, -74.0156512102)",36047013200,047,Brooklyn,013200
2017,3651000-36005022902,11.6,10.8,12.5,3273,"
,  
(40.8437862343, -73.9072134568)",36005022902,005,Bronx,022902
2017,3651000-36047036502,11.3,10.6,12.2,1255,"
,  
(40.6747082963, -73.9075705764)",36047036502,047,Brooklyn,036502
2017,3651000-36081069000,11.7,10.9,12.7,3252,"
,  
(40.6603597013, -73.755439681)",36081069000,081,Queens,069000
2017,3651000-36081121500,7.9,7.6,8.3,4101,"
,  
(40.7403945262, -73.8058361824)",36081121500,081,Queens,121500
2017,3651000-36081003900,8.9,8.4,9.4,1592,"
,  
(40.7627994134, -73.9409314697)",36081003900,081,Queens,003900
2017,3651000-36047040800,8.3,7.8,8.9,3566,"
,  
(40.6012012615, -73.9791341421)",36047040800,047,Brooklyn,040800
2017,3651000-36047046000,8.9,8.4,9.4,3729,"
,  
(40.63184065, -73.9655151184)",36047046000,047,Brooklyn,046000
2017,3651000-36047040200,8.4,8.1,8.9,2740,"
,  
(40.596000921, -73.9827234375)",36047040200,047,Brooklyn,040200
2017,3651000-36047012100,8.7,8.1,9.5,1619,"
,  
(40.6714789804, -73.9910490372)",36047012100,047,Brooklyn,012100
2017,3651000-36061002700,6.6,6.1,7.1,1264,"
,  
(40.7125599608, -73.9990063398)",36061002700,061,Manhattan,002700
2017,3651000-36061001001,7.9,7.5,8.4,1434,"
,  
(40.7120981275, -73.9734896191)",36061001001,061,Manhattan,001001
2017,3651000-36047093200,11,10.3,11.8,1142,"
,  
(40.6375695644, -73.9295164955)",36047093200,047,Brooklyn,093200
2017,3651000-36005005002,11,10.2,11.9,5823,"
,  
(40.8273628966, -73.8784350245)",36005005002,005,Bronx,005002
2017,3651000-36047052000,9.5,9.1,9.8,4228,"
,  
(40.637445479, -73.9641874733)",36047052000,047,Brooklyn,052000
2017,3651000-36047043900,9.5,8.8,10.2,3829,"
,  
(40.697512198, -73.9093710592)",36047043900,047,Brooklyn,043900
2017,3651000-36061011402,7.9,7.6,8.3,2397,"
,  
(40.7634830536, -73.9672788597)",36061011402,061,Manhattan,011402
2017,3651000-36085024800,9.3,8.8,9.9,4741,"
,  
(40.5158052538, -74.2445928804)",36085024800,085,Staten Island,024800
2017,3651000-36047054600,9.5,9,9.9,4346,"
,  
(40.6131411346, -73.9531239067)",36047054600,047,Brooklyn,054600
